,Unnamed: 0,state,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,0,Alabama,401114,3634612,0.11035951017605199,156,679,0.229749631811487,,0.0,,0.0,,,,,,,,,,,,,,,,38.8916866526723,16.1744340030518
1,1,Alaska,71399,507439,0.14070459700574803,35,164,0.21341463414634101,33.0,0.942857142857143,2.0,0.05714285714285701,4.0,,,6.0,,,5.0,,,6.0,,,8.0,,6.0,49.0202944018824,29.5844417943308
2,2,Arizona,529692,4762678,0.11121726054123302,240,1093,0.219579139981702,,0.0,,0.0,,,,,,,,,,,,,,,,45.3093495842867,20.1512596545323
3,3,Arkansas,247571,2203766,0.11233996712899601,105,447,0.23489932885906,103.0,0.980952380952381,2.0,0.019047619047619,,,13.0,,,,,,27.0,,,,25.0,,40.0,42.412075727771004,17.4829196475811
4,4,California,1947570,27908574,0.069783930916714,705,3913,0.180168668540762,682.0,0.967375886524823,23.0,0.032624113475177005,25.0,,,,,82.0,,,,,,267.0,,,331.0,36.1989556216208,12.356995130080499
5,5,Colorado,391203,3789844,0.10322403771764699,156,865,0.180346820809249,155.0,0.993589743589744,1.0,0.006410256410255999,12.0,,,8.0,,,16.0,,,31.0,,,39.0,,50.0,39.876994808322,20.861279552621202
6,6,Connecticut,225379,2753985,0.08183741015292402,52,353,0.14730878186968802,,0.0,,0.0,,,,,,,,,,,,,,,,23.0722471925068,11.9037920498488
7,7,Delaware,73311,690836,0.10611925261567098,14,106,0.132075471698113,12.0,0.857142857142857,2.0,0.14285714285714302,0.0,,,1.0,,,2.0,,,4.0,,,4.0,,3.0,19.0967249116776,14.8981822598275
8,8,Florida*,1616185,14789132,0.109281937574159,642,2789,0.23019003226963103,,0.0,,0.0,,,,,,,,,,,,,,,,39.723175255308,16.298554909543
9,9,Georgia,696844,7170107,0.09718739204310302,175,1133,0.154457193292145,,0.0,,0.0,10.0,,,15.0,,,11.0,,,25.0,,,42.0,,72.0,25.113224767666804,14.799336903197
10,10,Hawaii,117301,1025770,0.114354094972557,31,207,0.14975845410628,,0.0,,0.0,,,,,,,,,,,,,,,,26.427737188941304,19.3732532425432
11,11,Idaho,125328,1139751,0.10996085987202499,70,290,0.24137931034482799,67.0,0.957142857142857,3.0,0.042857142857142996,3.0,,,4.0,,,,,16.0,,,,17.0,,30.0,55.8534405719392,21.6872054359966
12,12,Illinois,751492,9708301,0.077407159089938,200,1178,0.16977928692699498,,0.0,,0.0,,,,,,,,,,,,,,,,26.6137231001794,10.919067270497802
13,13,Indiana,469627,4880691,0.09622141618881401,165,864,0.190972222222222,163.0,0.9878787878787879,2.0,0.012121212121212,,9.0,,,15.0,,,28.0,,,29.0,,,81.0,,35.1342661303545,15.8465168494495
14,14,Iowa,233244,2323493,0.10038506679383198,71,372,0.19086021505376302,,0.0,,0.0,,,,,,,,,,,,,,,,30.4402256864056,14.4001982538922
15,15,Kansas,215780,2118586,0.10185095153088,81,401,0.201995012468828,76.0,0.9382716049382719,5.0,0.061728395061727996,7.0,,,8.0,,,7.0,,,17.0,,,19.0,,23.0,37.538233385855996,16.817268812480098
16,16,Kentucky,317278,3295944,0.09626316466541901,104,631,0.16481774960380402,,0.0,,0.0,,,,,,,,,,,,,,,,32.7788248791281,17.692483816581
17,17,Louisiana,312187,3410467,0.09153790375335699,125,557,0.22441651705565502,,0.0,,0.0,,11.0,,,12.0,,,13.0,,,23.0,,,68.0,,40.040104168335,13.9432201092219
18,18,Maine,128123,1051795,0.121813661407404,46,186,0.247311827956989,,0.0,,0.0,,,,,,,,,,,,,,,,35.902999461455,15.156895521353901
19,19,Maryland,429774,4404995,0.09756515047122599,85,502,0.169322709163347,,0.0,,0.0,4.0,,,9.0,,,5.0,,,20.0,,,11.0,,36.0,19.777836723487198,10.4899828210809
20,20,Massachusetts,398252,5135613,0.077547120470331,75,598,0.125418060200669,67.0,0.893333333333333,8.0,0.10666666666666699,1.0,,,8.0,,,10.0,,,5.0,,,22.0,,29.0,18.8322971384952,11.039901751207099
21,21,Michigan,692922,7538643,0.09191601194008,212,1263,0.167854315122724,211.0,0.995283018867924,1.0,0.004716981132075,12.0,,,12.0,,,24.0,,,40.0,,,44.0,,80.0,30.5950741930549,15.3526560606253
22,22,Minnesota,377976,4024747,0.09391298384718301,91,606,0.15016501650164998,88.0,0.967032967032967,3.0,0.032967032967032996,2.0,,,3.0,,,13.0,,,22.0,,,18.0,,33.0,24.075602683768302,14.1220822475554
23,23,Mississippi,204156,2204874,0.09259304613324801,76,388,0.19587628865979395,73.0,0.9605263157894741,3.0,0.039473684210526,2.0,,,7.0,,,6.0,,,13.0,,,19.0,,29.0,37.2264346872,15.5944016098221
24,24,Missouri***,495420,4555615,0.108749312661408,180,856,0.210280373831776,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,36.3328085260991,16.6494466398781
25,25,Montana,95353,764891,0.124662206771945,68,227,0.299559471365639,65.0,0.9558823529411759,3.0,0.044117647058824004,5.0,,,,,16.0,,,,,,27.0,,,20.0,71.3139597076128,23.7477185760928
26,26,Nebraska,144695,1365316,0.105979128641282,21,193,0.10880829015544001,,0.0,,0.0,,,,,,,,,,,,,,,,14.5132865682988,14.0911880100375
27,27,Nevada,230314,2030027,0.113453663424181,124,547,0.226691042047532,,0.0,,0.0,3.0,,,7.0,,,12.0,,,17.0,,,33.0,,51.0,53.8395408008198,23.5037475419692
28,28,New Hampshire,114826,1029988,0.11148285222740499,41,196,0.209183673469388,38.0,0.9268292682926829,3.0,0.073170731707317,,,,,,,,,,,,,,,,35.7061989444899,16.9368920475282
29,29,New Jersey,453498,6732067,0.06736385719274599,94,719,0.13073713490959699,93.0,0.9893617021276601,1.0,0.010638297872339999,2.0,,,5.0,,,7.0,,,13.0,,,20.0,,47.0,20.727765061808398,9.95449759332103
30,30,New Mexico,178732,1539376,0.116106786126327,82,413,0.198547215496368,76.0,0.9268292682926829,6.0,0.073170731707317,1.0,,,7.0,,,7.0,,,10.0,,,20.0,,37.0,45.878745831748105,24.3267158786575
31,31,New York,951890,15055513,0.06322534476241401,214,1547,0.138332255979315,208.0,0.97196261682243,6.0,0.028037383177569996,10.0,,,4.0,,,8.0,,,42.0,,,76.0,,74.0,22.481589259263203,9.4514721500993
32,32,North Carolina,726084,7190151,0.100983136515492,222,1174,0.189097103918228,212.0,0.954954954954955,10.0,0.045045045045045,13.0,,,22.0,,,22.0,,,34.0,,,41.0,,90.0,30.574974796304602,14.727570119554802
33,33,North Dakota**,52076,519829,0.100179097357015,24,106,0.226415094339623,24.0,1.0,0.0,0.0,2.0,,,4.0,,,4.0,,,4.0,,,5.0,,6.0,46.086488977648,17.5306197929249
34,34,Ohio,892782,8803836,0.10140829520222802,268,1439,0.18624044475330104,261.0,0.973880597014925,7.0,0.026119402985075,5.0,,,22.0,,,39.0,,,39.0,,,49.0,,114.0,30.0185263591784,14.8020731497977
35,35,Oklahoma,323461,2810612,0.115085611247657,131,618,0.211974110032362,,0.0,,0.0,4.0,,,13.0,,,15.0,,,26.0,,,33.0,,40.0,40.4994728885399,19.5806366400753
36,36,Oregon,331584,2969208,0.111674224237574,151,685,0.22043795620438003,146.0,0.966887417218543,5.0,0.033112582781457005,3.0,,,9.0,,,20.0,,,23.0,,,36.0,,60.0,45.538988612237,20.2454936715771
37,37,Pennsylvania,981646,9917938,0.098976823609908,285,1576,0.18083756345177698,276.0,0.9684210526315791,9.0,0.031578947368421,5.0,,,19.0,,,23.0,,,55.0,,,59.0,,124.0,29.0328692828168,14.4467078739146
38,38,Rhode Island,72835,825652,0.088215131798869,20,129,0.155038759689922,,0.0,,0.0,,,,,,,,,,,,,,,,27.4593258735498,14.478950395647301
39,39,South Carolina,409008,3521443,0.11614784053014598,132,637,0.20722135007849302,129.0,0.9772727272727271,3.0,0.022727272727273,11.0,,,8.0,,,17.0,,,13.0,,,36.0,,47.0,32.273207370026995,16.2252384387144
40,40,South Dakota,69780,610858,0.11423276768086901,21,140,0.15,,0.0,,0.0,,,,,,,,,,,,,,,,30.0945829750645,21.9931322286251
41,41,Tennessee,487899,4846847,0.10066317339911901,155,943,0.164369034994698,149.0,0.9612903225806451,6.0,0.03870967741935501,3.0,,,12.0,,,19.0,,,34.0,,,24.0,,63.0,31.768870196495598,18.0777563760797
42,42,Texas,1609732,18268116,0.088117023123786,535,2891,0.18505707367692803,520.0,0.97196261682243,15.0,0.028037383177569996,,59.0,,,54.0,,,71.0,,,85.0,,,266.0,,33.2353460079069,14.143028519453
43,43,Utah,152839,1898882,0.080488940334365,75,473,0.158562367864693,73.0,0.9733333333333329,2.0,0.026666666666667005,0.0,,,9.0,,,8.0,,,11.0,,,21.0,,24.0,49.0712449047691,22.794398534285804
44,44,Vermont,48498,495796,0.097818457591429,15,106,0.141509433962264,15.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,,3.0,,,4.0,,8.0,30.9291104787826,20.344378915175103
45,45,Virginia,742131,6056442,0.122535805676006,188,963,0.19522326064382103,181.0,0.9627659574468079,7.0,0.037234042553192,3.0,,,16.0,,,19.0,,,36.0,,,35.0,,79.0,25.332454782242,14.5832639452226
46,46,Washington,592322,5112364,0.11586068597619399,222,957,0.23197492163009398,212.0,0.954954954954955,10.0,0.045045045045045,13.0,,,22.0,,,22.0,,,34.0,,,41.0,,90.0,37.4796141288016,16.2609108499434
47,47,West Virginia,163476,1465012,0.11158679928901599,72,279,0.258064516129032,70.0,0.9722222222222221,2.0,0.027777777777778,2.0,,,4.0,,,9.0,,,8.0,,,15.0,,34.0,44.04316229905311,15.9042853981757
48,48,Wisconsin,420641,4351489,0.09666599180188698,169,793,0.21311475409836103,,0.0,,0.0,8.0,,,8.0,,,15.0,,,33.0,,,48.0,,57.0,40.17677782241861,15.874437271550601
49,49,Wyoming,52337,425022,0.12313950807252301,29,131,0.22137404580152698,,0.0,,0.0,,,,,,,,,,,,,,,,55.410130500410794,27.368957698861
